CLIENTNUM,Email,FirstName,LastName,Phone Number,Zip Code,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
768805383,justinc@google.com,Justin,Campbell,212-379-5771,60005,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777.0,11914.0,1.335,1144,42,1.625,0.061
818770008,robertr@google.com,Robert,Robinson,888-950-3404,50005,Existing Customer,49,,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864.0,7392.0,1.541,1291,33,3.714,0.105
713982108,brian.young@amazon.com,Brian,Young,702-562-5453,30003,Existing Customer,51,,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0.0,3418.0,2.594,1887,20,2.333,0.0
769911858,nicholasmiller@gmail.com,Nicholas,Miller,212-903-3157,40004,Existing Customer,40,,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517.0,796.0,1.405,1171,20,2.333,0.76
709106358,anthony.flores@amazon.com,Anthony,Flores,888-312-6450,60002,Existing Customer,40,,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0.0,4716.0,2.175,816,28,2.5,0.0
713061558,dyoung@intel.com,Donna,Young,900-462-8111,90005,Existing Customer,44,,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247.0,2763.0,1.376,1088,24,0.846,0.311
810347208,ebaker@apple.com,Elizabeth,Baker,800-557-8097,30002,Existing Customer,51,,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264.0,32252.0,1.975,1330,31,0.722,0.066
818906208,bgonzalez@ymail.com,Benjamin,Gonzalez,617-858-4751,30002,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396.0,27685.0,2.204,1538,36,0.714,0.048
710930508,joshua.campbell@gmail.com,Joshua,Campbell,888-311-7071,60004,Existing Customer,37,M,3,Uneducated,,$60K - $80K,Blue,36,5,2,0,22352.0,2517.0,19835.0,3.355,1350,24,1.182,0.113
719661558,dramirez@cisco.com,Dennis,Ramirez,900-718-7500,95002,Existing Customer,48,M,2,Graduate,,$80K - $120K,Blue,36,6,3,3,11656.0,1677.0,9979.0,1.524,1441,32,0.882,0.144
708790833,kennethmiller@google.com,Kenneth,Miller,800-489-7524,40001,Existing Customer,42,M,5,Uneducated,,$120K +,Blue,31,5,3,2,6748.0,1467.0,5281.0,0.831,1201,42,0.68,0.217
710821833,dennisj@microsoft.com,Dennis,Jackson,617-881-7054,50002,Existing Customer,65,M,1,Unknown,,$40K - $60K,Blue,54,6,2,3,9095.0,,7508.0,1.433,1314,26,1.364,0.174
710599683,alexander.thompson@amazon.com,Alexander,Thompson,415-440-7443,70004,Existing Customer,56,M,1,College,,$80K - $120K,Blue,36,3,6,0,11751.0,,11751.0,3.397,1539,17,3.25,0.0
816082233,froberts@aol.com,Frank,Roberts,212-403-1886,90004,Existing Customer,35,M,3,Graduate,,$60K - $80K,Blue,30,5,1,3,8547.0,,6881.0,1.163,1311,33,2.0,0.195
712396908,nancy.thomas@google.com,Nancy,Thomas,213-285-3423,80002,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,,1756.0,1.19,1570,29,0.611,0.279
714885258,rrobinson@gmail.com,Ronald,Robinson,702-748-7678,20003,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234.0,,3262.0,1.707,1348,27,1.7,0.23
709967358,larryperez@apple.com,Larry,Perez,900-568-6033,50004,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,,28005.0,1.708,1671,27,0.929,0.078
753327333,gregorymartinez@google.com,Gregory,Martinez,888-494-4750,20005,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535.0,,12244.0,0.653,1028,21,1.625,0.095
806160108,samuel.lopez@oracle.com,Samuel,Lopez,888-721-3227,10001,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,,676.0,1.831,1336,30,1.143,0.788
709327383,sandra.thompson@microsoft.com,Sandra,Thompson,888-503-6996,20003,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470.0,,13313.0,0.966,1207,21,0.909,0.08
806165208,sgreen@aol.com,Stephen,Green,702-446-5629,50002,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,,19179.0,0.906,1178,27,0.929,0.086
708508758,dorothym@apple.com,Dorothy,Martinez,312-399-8891,90003,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,,1438.3,1.047,692,16,0.6,0.0
784725333,matthewcarter@microsoft.com,Matthew,Carter,213-338-2899,30003,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680.0,3790.0,1.608,931,18,1.571,0.152
811604133,michelle.allen@google.com,Michelle,Allen,503-435-2925,80004,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560.0,932.0,0.573,1126,23,0.353,0.626
789124683,grodriguez@google.com,Gregory,Rodriguez,503-553-6807,70005,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0.0,12217.0,1.075,1110,21,0.75,0.0
771071958,lisa.hernandez@gmail.com,Lisa,Hernandez,617-934-1538,90005,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669.0,6099.0,0.797,1051,22,0.833,0.215
